Sample_Name	Other_ID	Other_ID_2	Genus	Species	BreedCategory	BreedAbr.	Material	Element	Site_Region	Site_updated	Site	Country	Lat	Long	Age_Name_BP	Age info	Date_Maximum_BP	Date_Minimum_BP	BioProject	Accession	SeqPlatform	Age_note	Meta Population	mt Haplotype	Sex	Y_chr	Cov (reported)	CoverageX	CoverageRatio	Mean Depth	BoC %	Date Sequenced	Notes	Reference	Spcode	Site_Region	Age_Mean_BP	analysis-ID	Wolf-Dog_PCA	"Dog_PCA (European, Arctic+NA, East Asia, Near Eastern Africa)"
AlapahaBlueBloodBulldog02	SRR10752633	AlapahaBlueBloodBulldog02	Canis	familiaris	Alapaha_Blue_Blood_Bulldog										0				PRJNA263947	SAMN13655910	Illumina NovaSeq 6000		American_European_Dogs		M		38.0919	37.6017	1.01303665						D		0	AlapahaBlueBloodBulldog02	Dogs	European_Dogs
AlaskanHusky01		AlaskanHusky01	Canis	familiaris	Alaskan_Husky	ALHK									0				PRJEB9590	SAMEA3449656	Illumina HiSeq 2500		Arctic_Dogs		M		16.6072	9.32632	1.78068091						D		0	AlaskanHusky01	Dogs	Arctic_Dogs
AlaskanHusky02		AlaskanHusky02	Canis	familiaris	Alaskan_Husky	ALHK									0				PRJEB9591	SAMEA3449657	Illumina HiSeq 2500		Arctic_Dogs		F		12.9139	7.167	1.80185573						D		0	AlaskanHusky02	Dogs	Arctic_Dogs
AlaskanMalamute01		AlaskanMalamute01_30099	Canis	familiaris	Alaskan_Malamute	AMAL									0				PRJNA448733	SAMN08872810	Illumina HiSeq 3000		Arctic_Dogs		F		18.9033	18.9015	1.00009523						D		0	AlaskanMalamute01	Dogs	Arctic_Dogs
AlaskanMalamute01_Reseq	CRR055127	AlaskanMalamute01_Reseq_30099	Canis	familiaris	Alaskan_Malamute	AMAL									0				PRJNA648123	SAMN15625708	Illumina HiSeq 3000		Arctic_Dogs		F										D		0	AlaskanMalamute01_Reseq	Dogs	Arctic_Dogs
AlaskanMalamute02		AlaskanMalamute02	Canis	familiaris	Alaskan_Malamute	AMAL									0				PRJNA266585	SAMN03168378	Illumina HiSeq 2000		Arctic_Dogs		M		16.3685	16.4837	0.99301128						D		0	AlaskanMalamute02	Dogs	Arctic_Dogs
AlaskanMalamute03	AM007	AlaskanMalamute03	Canis	familiaris	Alaskan_Malamute	AMAL									0				PRJEB16012	SAMEA104091571	Illumina HiSeq 3000		Arctic_Dogs				17.0484	9.64149	1.76823292						D		0	AlaskanMalamute03	Dogs	Arctic_Dogs
AlaskanMalamute04	ERR2750976	AlaskanMalamute04	Canis	familiaris	Alaskan_Malamute	AMAL									0				PRJEB16012	SAMEA4848707	Illumina NovaSeq 6000		Arctic_Dogs		F										D		0	AlaskanMalamute04	Dogs	Arctic_Dogs
AlaskanWolf		AlaskanWolf	Canis	lupus	Wolf	Wolf									0				PRJNA331222	SAMN05439956	Illumina HiSeq 2000		North_American_Wolves		M		7.25354	7.29244	0.99466571						W		0	AlaskanWolf	North_American_Wolves	Wolves
AlgonquinWolf13467		AlgonquinWolf13467	Canis	lupus	Wolf	Wolf									0				PRJNA331222	SAMN05791669	Illumina HiSeq 2000		North_American_Wolves		F		5.16247	3.27685	1.57543678						W		0	AlgonquinWolf13467	North_American_Wolves	Wolves
AlgonquinWolf13470		AlgonquinWolf13470	Canis	lupus	Wolf	Wolf									0				PRJNA331222	SAMN05791668	Illumina HiSeq 2000		North_American_Wolves				7.2025	7.26597	0.99126476						W		0	AlgonquinWolf13470	North_American_Wolves	Wolves
AlpineDachsbrake02	ERR2750982	AlpineDachsbrake02	Canis	familiaris	Alpine_Dachsbracke										0				PRJEB16012	SAMEA4848713	Illumina NovaSeq 6000		European_Dogs		M										D		0	AlpineDachsbrake02	Dogs	European_Dogs
AmericanEskimoDog01		AmericanEskimoDog01_10800	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA685036	SAMN17192040	Illumina NovaSeq 6000		American_European_Dogs		F		27.597	15.2136	1.81396908						D		0	AmericanEskimoDog01	Dogs	European_Dogs
AmericanEskimoDog02		AmericanEskimoDog02_10808	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA685036	SAMN17192041	Illumina NovaSeq 6000		American_European_Dogs		F		48.4186	47.9066	1.01068746						D		0	AmericanEskimoDog02	Dogs	European_Dogs
AmericanEskimoDog03		AmericanEskimoDog03_10810	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA685036	SAMN17192042	Illumina NovaSeq 6000		American_European_Dogs		M		57.1828	56.0084	1.02096828						D		0	AmericanEskimoDog03	Dogs	European_Dogs
AmericanEskimoDog04	CRR037836	AmericanEskimoDog04_8380	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA648123	SAMN15625694	Illumina HiSeq 3000		American_European_Dogs		F		22.1248	12.3032	1.79829638						D		0	AmericanEskimoDog04	Dogs	European_Dogs
AmericanEskimoDog05	CRR037846	AmericanEskimoDog05_10805	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA648123	SAMN15625695	Illumina HiSeq 3000		American_European_Dogs		F		18.2669	18.2195	1.00260161						D		0	AmericanEskimoDog05	Dogs	European_Dogs
AmericanEskimoDog06	CRR037847	AmericanEskimoDog06_10809	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA648123	SAMN15625696	Illumina HiSeq 3000		American_European_Dogs				18.6961	18.6978	0.99990908						D		0	AmericanEskimoDog06	Dogs	European_Dogs
AmericanEskimoDog07	CRR078109	AmericanEskimoDog07_15300	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA648123	SAMN15625697	Illumina HiSeq 3000		American_European_Dogs				19.2455	10.7665	1.78753541						D		0	AmericanEskimoDog07	Dogs	European_Dogs
AmericanEskimoDog08	CRR078110	AmericanEskimoDog08_15301	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA648123	SAMN15625698	Illumina HiSeq 3000		American_European_Dogs				17.4787	9.6862	1.80449506						D		0	AmericanEskimoDog08	Dogs	European_Dogs
AmericanEskimoDog09	CRR078111	AmericanEskimoDog09_15304	Canis	familiaris	American_Eskimo_Dog	AESK									0				PRJNA648123	SAMN15625699	Illumina HiSeq 3000		American_European_Dogs				17.8942	10.058	1.77910121						D		0	AmericanEskimoDog09	Dogs	European_Dogs
AmericanFoxhound01	CRR078112	AmericanFoxhound01_34454	Canis	familiaris	American_Foxhound	AFOX									0				PRJNA648123	SAMN15625703	Illumina HiSeq 3000		American_European_Dogs				18.3804	10.2001	1.80198233						D		0	AmericanFoxhound01	Dogs	European_Dogs
AmericanHairlessTerrier01	CRR078114	AmericanHairlessTerrier01_1121	Canis	familiaris	American_Hairless_Terrier	AHRT									0				PRJNA448733	SAMN08872813	Illumina HiSeq 3000		American_European_Dogs				16.7536	16.8127	0.9964848						D		0	AmericanHairlessTerrier01	Dogs	European_Dogs
AmericanHairlessTerrier01_Reseq	CRR078114	AmericanHairlessTerrier01_Reseq_1121	Canis	familiaris	American_Hairless_Terrier	AHRT									0				PRJNA648123	SAMN15625705	Illumina HiSeq 3000		American_European_Dogs				16.7536	16.8127	0.9964848						D		0	AmericanHairlessTerrier01	Dogs	European_Dogs
AmericanHairlessTerrier02	CRR078113	AmericanHairlessTerrier02_1118	Canis	familiaris	American_Hairless_Terrier	AHRT									0				PRJNA648123	SAMN15625704	Illumina HiSeq 3000		American_European_Dogs				20.0974	11.2698	1.78329695						D		0	AmericanHairlessTerrier02	Dogs	European_Dogs
AmericanHairlessTerrier04	CRR078115	AmericanHairlessTerrier04_1124	Canis	familiaris	American_Hairless_Terrier	AHRT									0				PRJNA648123	SAMN15625706	Illumina HiSeq 3000		American_European_Dogs				16.8811	17.3208	0.97461434						D		0	AmericanHairlessTerrier04	Dogs	European_Dogs
AmericanStaffordshireTerrier01	ERR2759437	AmericanStaffordshireTerrier01	Canis	familiaris	American_Staffordshire_Terrier	AMST									0				PRJEB16012	SAMEA4867927	Illumina NovaSeq 6000		American_European_Dogs		M										D		0	AmericanStaffordshireTerrier01	Dogs	European_Dogs
AmericanStaffordshireTerrier02	CRR055106	AmericanStaffordshireTerrier02_24262	Canis	familiaris	American_Staffordshire_Terrier	AMST									0				PRJNA648123	SAMN15625710	Illumina HiSeq 3000		American_European_Dogs		M		19.0979	10.6741	1.78918129						D		0	AmericanStaffordshireTerrier02	Dogs	European_Dogs
AmericanStaffordshireTerrier03	CRR055125	AmericanStaffordshireTerrier03_29583	Canis	familiaris	American_Staffordshire_Terrier	AMST									0				PRJNA648123	SAMN15625711	Illumina HiSeq 3000		American_European_Dogs		F		20.7475	11.5853	1.79084702						D		0	AmericanStaffordshireTerrier03	Dogs	European_Dogs
AmericanStaffordshireTerrier04	SRR10077543	AmericanStaffordshireTerrier04	Canis	familiaris	American_Staffordshire_Terrier	AMST									0				PRJNA263947	SAMN12700520	Illumina NovaSeq 6000		American_European_Dogs		F		46.7489	47.0564	0.99346529						D		0	AmericanStaffordshireTerrier04	Dogs	European_Dogs
AmericanStaffordshireTerrier05	SRR10077573	AmericanStaffordshireTerrier05	Canis	familiaris	American_Staffordshire_Terrier	AMST									0				PRJNA263947	SAMN12700524	Illumina NovaSeq 6000		American_European_Dogs				39.9814	39.226	1.01925764						D		0	AmericanStaffordshireTerrier05	Dogs	European_Dogs
AmericanStaffordshireTerrier06	CRR078116	AmericanStaffordshireTerrier06_24030	Canis	familiaris	American_Staffordshire_Terrier	AMST									0				PRJNA648123	SAMN15625709	Illumina HiSeq 3000		American_European_Dogs		M		18.2126	18.2534	0.9977648						D		0	AmericanStaffordshireTerrier06	Dogs	European_Dogs
AmericanWaterSpaniel01	CRR037814	AmericanWaterSpaniel01_987	Canis	familiaris	American_Water_Spaniel	AMWS									0				PRJNA648123	SAMN15625712	Illumina HiSeq 3000		American_European_Dogs		M		19.7507	11.014	1.79323588						D		0	AmericanWaterSpaniel01	Dogs	European_Dogs
AmericanWaterSpaniel02	CRR037815	AmericanWaterSpaniel02_988	Canis	familiaris	American_Water_Spaniel	AMWS									0				PRJNA648123	SAMN15625713	Illumina HiSeq 3000		American_European_Dogs		F		20.192	11.1453	1.81170538						D		0	AmericanWaterSpaniel02	Dogs	European_Dogs
AmericanWaterSpaniel03	CRR037908	AmericanWaterSpaniel03_29580	Canis	familiaris	American_Water_Spaniel	AMWS									0				PRJNA648123	SAMN15625714	Illumina HiSeq 3000		American_European_Dogs				18.2874	18.2342	1.00291759						D		0	AmericanWaterSpaniel03	Dogs	European_Dogs
AnatolianShepherdDog01	CRR078117	AnatolianShepherdDog01_7584	Canis	familiaris	Anatolian_Shepherd_Dog	ANAT									0				PRJNA648123	SAMN15625715	Illumina HiSeq 3000		European_Dogs		F		17.5002	9.84706	1.77720051						D		0	AnatolianShepherdDog01	Dogs	European_Dogs
