Sample	name_haplo_VCF	ena_prj	Bam	Genus	Species	Site_Region	Site_updated	Country	Lat	Long	Meta_Population	Cov_reported	Mean_Depth	BoC.	Spcode	Age_Mean_BP	Wolf_Dog_PCA	Dog_PCA
WOL-VAL-08	WOL-VAL-08		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/VAL_008.bam	Canis	lupus	Badyarikha	Badyarikha2	Russia	68.26	146.5	Pleistocene_Wolves	1.91	1.98	83.67	W	33515	Pleistocene_Wolves	Wolves
WOL-VAL-18A	WOL-VAL-18A		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/VAL_18A.bam	Canis	lupus	Enygen	Enygen1	Russia	68.92	134.48	Pleistocene_Wolves	0.97	1	60.67	W	100706	Pleistocene_Wolves	Wolves
WolfHead	WolfHead		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/IN18_016.bam	Canis	lupus	BeleyaGora	BeleyaGora2	Russia	68.6	147.19	Pleistocene_Wolves	13.01	14.86	99.18	W	32020	Pleistocene_Wolves	Wolves
Yana-1	Yana-1		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/Yana-1_reheader.bam	Canis	lupus	Yana	Yana7	Russia	71.5	136.6	Pleistocene_Wolves	2.62	2.6	88.29	W	28110	Pleistocene_Wolves	Wolves
KT0033	KT0033		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0033_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle1	Lithuania	NA	NA	European_Dogs	NA	9.77	99.22	D	566	Dogs	European_Dogs
KT0037	KT0037		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0037_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle2	Lithuania	NA	NA	European_Dogs	NA	2.44	76.99	D	595	Dogs	European_Dogs
KT0039	KT0039		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0039_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle3	Lithuania	NA	NA	European_Dogs	NA	21.6	99.39	D	389	Dogs	European_Dogs
KT0041	KT0041		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0041_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle4	Lithuania	NA	NA	European_Dogs	NA	12.36	99.31	D	153	Dogs	European_Dogs
KT0043	KT0043		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0043_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle5	Lithuania	NA	NA	European_Dogs	NA	8.02	99.1	D	600	Dogs	European_Dogs
KT0049	KT0049		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0049_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle6	Lithuania	NA	NA	European_Dogs	NA	5.87	98.47	D	693	Dogs	European_Dogs
KT0052	KT0052		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0052_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle7	Lithuania	NA	NA	European_Dogs	NA	17.69	99.36	D	736	Dogs	European_Dogs
KT0056	KT0056		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0056_rmdup.bam	Canis	familiaris	VilniusCastle	VilniusCastle8	Lithuania	NA	NA	European_Dogs	NA	8.89	99.1	D	153	Dogs	European_Dogs
KT0094	KT0094		/projects/racimolab/people/qcj125/MUNICH_FILES/UNPUBLISHED_BAMS/KT0094_rmdup.bam	Canis	familiaris	Riga	Riga1	Latvia	NA	NA	European_Dogs	NA	4.31	97.06	D	153	Dogs	European_Dogs
