Sample	Dog_PCA	Wolf_Dog_PCA
BelgianMalinois01	European_Dogs	European_Dogs
BelgianMalinois02	European_Dogs	European_Dogs
BelgianMalinois03	European_Dogs	European_Dogs
BelgianMalinois04	European_Dogs	European_Dogs
BelgianMalinois05	European_Dogs	European_Dogs
BelgianMalinois06	European_Dogs	European_Dogs
BelgianMalinois07_25490	European_Dogs	European_Dogs
BelgianMalinois08	European_Dogs	European_Dogs
BelgianMalinois09	European_Dogs	European_Dogs
BelgianMalinois10	European_Dogs	European_Dogs
BelgianMalinois11	European_Dogs	European_Dogs
BelgianMalinois12	European_Dogs	European_Dogs
BelgianMalinois13	European_Dogs	European_Dogs
BelgianMalinois14	European_Dogs	European_Dogs
BelgianMalinois15	European_Dogs	European_Dogs
BelgianMalinois16	European_Dogs	European_Dogs
BelgianMalinois17	European_Dogs	European_Dogs
BelgianMalinois18	European_Dogs	European_Dogs
BelgianMalinois19	European_Dogs	European_Dogs
BelgianMalinois20	European_Dogs	European_Dogs
BelgianMalinois21	European_Dogs	European_Dogs
BelgianMalinois22	European_Dogs	European_Dogs
BelgianMalinois23	European_Dogs	European_Dogs
BelgianMalinois24	European_Dogs	European_Dogs
BelgianMalinois25	European_Dogs	European_Dogs
BelgianMalinois26	European_Dogs	European_Dogs
BelgianMalinois27	European_Dogs	European_Dogs
BelgianMalinois28_24233	European_Dogs	European_Dogs
BelgianSheepdog01_27485	European_Dogs	European_Dogs
BelgianSheepdog02_23570	European_Dogs	European_Dogs
BelgianSheepdog03_23572	European_Dogs	European_Dogs
BelgianSheepdog04_24974	European_Dogs	European_Dogs
BelgianSheepdog05_15643	European_Dogs	European_Dogs
BelgianSheepdog06_24605	European_Dogs	European_Dogs
BelgianSheepdog07_24604	European_Dogs	European_Dogs
BelgianSheepdog08_30647	European_Dogs	European_Dogs
BelgianSheepdog09_31144	European_Dogs	European_Dogs
BelgianSheepdog10_22740	European_Dogs	European_Dogs
BelgianSheepdog11_34638	European_Dogs	European_Dogs
BelgianSheepdog12_34665	European_Dogs	European_Dogs
BelgianSheepdog13_35102	European_Dogs	European_Dogs
BelgianTervuren01_27484	European_Dogs	European_Dogs
BelgianTervuren02_22754	European_Dogs	European_Dogs
BelgianTervuren03_24639	European_Dogs	European_Dogs
BelgianTervuren04_24613	European_Dogs	European_Dogs
BelgianTervuren05_28307	European_Dogs	European_Dogs
BelgianTervuren06_22771	European_Dogs	European_Dogs
BelgianTervuren07_23576	European_Dogs	European_Dogs
BelgianTervuren08_28302	European_Dogs	European_Dogs
BelgianTervuren09_28308	European_Dogs	European_Dogs
BelgianTervuren10_22774	European_Dogs	European_Dogs
BelgianTervuren11_24620	European_Dogs	European_Dogs
BelgianTervuren12_BT1032	European_Dogs	European_Dogs
BelgianTervuren13_BT1241	European_Dogs	European_Dogs
BelgianTervuren14_BT1246	European_Dogs	European_Dogs
BelgianTervuren15_BT1259	European_Dogs	European_Dogs
BelgianTervuren16_BT1300	European_Dogs	European_Dogs
BelgianTervuren17_BT1332	European_Dogs	European_Dogs
BelgianTervuren18_BT1355	European_Dogs	European_Dogs
BelgianTervuren19_33058	European_Dogs	European_Dogs
BelgianTervuren20_34513	European_Dogs	European_Dogs
BergerBlancSuisse01	European_Dogs	European_Dogs
BergerPicard01	European_Dogs	European_Dogs
BergerPicard02	European_Dogs	European_Dogs
BergerPicard03	European_Dogs	European_Dogs
BergerPicard04	European_Dogs	European_Dogs
BergerPicard05_33251	European_Dogs	European_Dogs
BergerPicard06_33252	European_Dogs	European_Dogs
BergerPicard07	European_Dogs	European_Dogs
Bern_AlpineDachsbracke	European_Dogs	European_Dogs
BerneseMountainDog01_4679	European_Dogs	European_Dogs
BerneseMountainDog02_30814	European_Dogs	European_Dogs
BerneseMountainDog03_941	European_Dogs	European_Dogs
BerneseMountainDog04_1003	European_Dogs	European_Dogs
