ID	Other_ID	Other_ID_2	Genus	Species	Material	Element	Site_Region	Site_updated	Site	Country	Lat	Long	Age_Name_BP	Age info	Date_Maximum_BP	Date_Minimum_BP	Accession	Age_note	Meta Population	mt Haplotype	Sex	Y_chr	Cov (reported)			Mean Depth	BoC %	Bam file location_NIH	Bam file location_LMU (OLD)	Bam file location_LMU (LATEST)	VCF-name-GLOBUS	BAM-directory-GLOBUS	BAM-name-GLOBUS	Notes	Reference	v1_148g	name_haplo_VCF	Spcode	Site_Region	Age_Mean_BP	analysis-ID	Wolf-Dog_PCA	Dog_PCA (European, Arctic+NA, East Asia, Near Eastern Africa)
LS0131	N6880-15		Canis	familiaris			NullarborPlain	NullarborPlain9	NullarborPlain	Australia	-30.54	131.18	998	998 calBP					Dingo							0.48	35.62			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0131_A2/LS0131_A2_rmdup.bam					Lachie unpublished dingo data		LS0131	D	NullarborPlain9	998	D_NullarborPlain9_998	Dingo	Dingo
LS0132	N6880-14		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain10	NullarborPlain	Australia	-30.54	131.18	207						Dingo		M					1.06	62.08			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0132a/LS0132a_rmdup.bam					Lachie unpublished dingo data		LS0132	D	NullarborPlain10	207	D_NullarborPlain10_207	Dingo	Dingo
LS0134	N6852-2		Canis	familiaris			NullarborPlain	NullarborPlain11	NullarborPlain	Australia	-31.03	131.07	627	627 calBP					Dingo							0.15	11.22			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0134_A2/LS0134_A2_rmdup.bam					Lachie unpublished dingo data		LS0134	D	NullarborPlain11	627	D_NullarborPlain11_627	Dingo	Dingo
LS0136	N6880-10		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain12	NullarborPlain	Australia	-30.54	131.18	541						Dingo		M					0.61	43.17			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0136a/LS0136a_rmdup.bam					Lachie unpublished dingo data		LS0136	D	NullarborPlain12	541	D_NullarborPlain12_541	Dingo	Dingo
LS0137	N6880-13		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain13	NullarborPlain	Australia	-30.54	131.18	372						Dingo		M					1.76	80.45			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0137a/LS0137a_rmdup.bam					Lachie unpublished dingo data		LS0137	D	NullarborPlain13	372	D_NullarborPlain13_372	Dingo	Dingo
LS0138	N6880-6		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain14	NullarborPlain	Australia	-30.54	131.18	295						Dingo		F					1.85	81.25			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0138a/LS0138a_rmdup.bam					Lachie unpublished dingo data		LS0138	D	NullarborPlain14	295	D_NullarborPlain14_295	Dingo	Dingo
LS0139	N6880-19		Canis	familiaris			NullarborPlain	NullarborPlain15	NullarborPlain	Australia	-30.54	131.18	1227	1227 calBP					Dingo							0.87	53.71			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0139_A2/LS0139_A2_rmdup.bam					Lachie unpublished dingo data		LS0139	D	NullarborPlain15	1227	D_NullarborPlain15_1227	Dingo	Dingo
LS0141	N6880-20		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain16	NullarborPlain	Australia	-30.54	131.18	185						Dingo		F					0.82	53.57			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0141a/LS0141a_rmdup.bam					Lachie unpublished dingo data		LS0141	D	NullarborPlain16	185	D_NullarborPlain16_185	Dingo	Dingo
LS0146	N6880-16		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain17	NullarborPlain	Australia	-30.54	131.18	485						Dingo		M					1.9	81.63			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0146a/LS0146a_rmdup.bam					Lachie unpublished dingo data		LS0146	D	NullarborPlain17	485	D_NullarborPlain17_485	Dingo	Dingo
LS0147	N6880-5		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain18	NullarborPlain	Australia	-30.54	131.18	762	762 calBP					Dingo							2.28	85.66			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0147a/LS0147a_rmdup.bam					Lachie unpublished dingo data		LS0147	D	NullarborPlain18	762	D_NullarborPlain18_762	Dingo	Dingo
LS0152	N6880-9		Canis	familiaris	Bone	Petrous	NullarborPlain	NullarborPlain19	NullarborPlain	Australia	-30.54	131.18	884						Dingo		M					1.04	59.8			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0152a/LS0152a_rmdup.bam					Lachie unpublished dingo data		LS0152	D	NullarborPlain19	884	D_NullarborPlain19_884	Dingo	Dingo
AL2541	RBINS-GOY-2812-5		Canis	lupus			Goyet	Goyet1	Goyet	Belgium	50.44	5.01	34030	34030	34645	33415			Pleistocene_Wolves		F		0.79			1.07	62.37		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/AL2541_rmdup_chrn.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/AL2541_rmdup_chrn.bam		Unpub_AB_wolf	AL2541_rmdup_chrn.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		AL2541	W	Goyet1	34030	W_Goyet1_34030	Pleistocene_Wolves	Wolves
SC1158_L1_b	UM495 CP F2052		Canis	sp	Tooth root	LLP4	CahalPech	CahalPech1	Cahal Pech	Belize	17.0845	-89.0425	Maya	Maya Late-Terminal Preclassic					Undet							0	0.15		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient_rehead/SC1158_rmdup.bam 	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_Sophy/SC1158_rmdup.bam		Unpub_Sophy	SC1158_rmdup.bam		Sophy unpublished data		SC1158	U	CahalPech1	Maya	U_CahalPech1_Maya	Undet	Undet
SC1116	Muestra #2	AD2017	Canis	familiaris	Tooth root	Tooth	MolloKontuTihuanacu	MolloKontuTihuanacu1	Mollo Kontu-Tihuanacu	Bolivia			1250	1250	1600	900			preContact_Dogs	A1a						0.61	32.57		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/Bolivia_1250.mrg.rmdup.chrnmd.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_Sophy/Bolivia_1250.mrg.rmdup.chrnmd.bam		Unpub_Sophy	Bolivia_1250.mrg.rmdup.chrnmd.bam	Same individual as AD2017	Sophy unpublished data		AD2017	D	MolloKontuTihuanacu1	1250	D_MolloKontuTihuanacu1_1250	Dogs	preContact_Dogs
NMNH_264482	SL404558	NMNH-264482 (extr. A)	Canis	lupus beothucus	Bone	Skull	Newfoundland	Newfoundland1	Newfoundland	Canada			NA	?	prior 1940				North_American_Wolves				2.7			3.44	88.15		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/NMNH_264482.final.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_redwolf/NMNH_264482_reheader.bam		Unpub_redwolf	NMNH_264482_reheader.bam		Alberto unpublished data		NMNH_264482	W	Newfoundland1	NA	W_Newfoundland1_NA	North_American_Wolves	Wolves
ROM-15038			Canis	latrans	Bone	Turbinate	HaldimandNorfolk	HaldimandNorfolk1	Ontario, Haldimand-Norfolk	Canada			80	7 June 1941					Coyotes		M		1.24			0.94	33			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-15038.bam		Cate_BAMs	ROM-15038.bam		Alberto unpublished data		ROM-15038	C	HaldimandNorfolk1	80	C_HaldimandNorfolk1_80	Coyotes	Coyotes
ROM-2801260001			Canis	lupus lycaon	Bone	Turbinate	Algoma	Algoma1	Ontario, Algoma	Canada			90	10 Jan 1928					Red_Eastern_Wolves		F		0.93			0.71	34.32			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-2801260001.bam		Cate_BAMs	ROM-2801260001.bam		Alberto unpublished data		ROM-2801260001	W	Algoma1	90	W_Algoma1_90	Red_Eastern_Wolves	Wolves
ROM-2802160001			Canis	lupus lycaon	Tooth		Algoma	Algoma2	Ontario, Algoma	Canada			90	10 Feb 1928					Red_Eastern_Wolves		M		1.79			1.29	50.08			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-2802160001.bam		Cate_BAMs	ROM-2802160001.bam		Alberto unpublished data		ROM-2802160001	W	Algoma2	90	W_Algoma2_90	Red_Eastern_Wolves	Wolves
ROM-2805040002			Canis	lupus lycaon	claw, skin		Kenora	Kenora1	Ontario, Kenora	Canada			90	12 Nov 1930					Red_Eastern_Wolves		M		3.38			3.2	92.03			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-2805040002.bam		Cate_BAMs	ROM-2805040002.bam		Alberto unpublished data		ROM-2805040002	W	Kenora1	90	W_Kenora1_90	Red_Eastern_Wolves	Wolves
ROM-2806130001			Canis	lupus lycaon	Bone	Turbinate	Nipissing	Nipissing1	Ontario, Nipissing	Canada			100	Nov 1924					Red_Eastern_Wolves		M		1.48			1.46	74.72			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-2806130001.bam		Cate_BAMs	ROM-2806130001.bam		Alberto unpublished data		ROM-2806130001	W	Nipissing1	100	W_Nipissing1_100	Red_Eastern_Wolves	Wolves
ROM-3102240001			Canis	lupus lycaon	Bone	Turbinate	ThunderBay	ThunderBay1	Ontario, Thunder Bay	Canada			90	12 Nov 1930					Red_Eastern_Wolves		M		3.81			3.32	88.6			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-3102240001.bam		Cate_BAMs	ROM-3102240001.bam		Alberto unpublished data		ROM-3102240001	W	ThunderBay1	90	W_ThunderBay1_90	Red_Eastern_Wolves	Wolves
ROM-3103130002			Canis	lupus lycaon	Bone	Occipital	Quebec	Quebec1	Quebec	Canada			90	21 Dec 1930					Red_Eastern_Wolves		F		1.99			1.56	50.67			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-3103130002.bam		Cate_BAMs	ROM-3103130002.bam		Alberto unpublished data		ROM-3103130002	W	Quebec1	90	W_Quebec1_90	Red_Eastern_Wolves	Wolves
ROM-3212300002			Canis	latrans	Bone	Turbinate	HaldimandNorfolk	HaldimandNorfolk2	Ontario, Haldimand-Norfolk	Canada			90	13 Dec 1932					Coyotes		M		1.57			1.04	21.41			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-3212300002.bam		Cate_BAMs	ROM-3212300002.bam		Alberto unpublished data		ROM-3212300002	C	HaldimandNorfolk2	90	C_HaldimandNorfolk2_90	Coyotes	Coyotes
ROM-3302130001			Canis	latrans	Tooth		Algoma	Algoma3	Ontario, Algoma	Canada			90	17 Nov 1933					Coyotes		M		0.52			0.34	16.06			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-3302130001.bam		Cate_BAMs	ROM-3302130001.bam		Alberto unpublished data		ROM-3302130001	C	Algoma3	90	C_Algoma3_90	Coyotes	Coyotes
ROM-3302130002			Canis	latrans	Bone	Turbinate	Algoma	Algoma4	Ontario, Algoma	Canada			90	13 Feb 1933					Coyotes		F		2.53			1.93	36.49			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-3302130002.bam		Cate_BAMs	ROM-3302130002.bam		Alberto unpublished data		ROM-3302130002	C	Algoma4	90	C_Algoma4_90	Coyotes	Coyotes
ROM-3312050001			Canis	latrans	Tooth		HaldimandNorfolk	HaldimandNorfolk3	Ontario, Haldimand-Norfolk	Canada			90	17 Nov 1933					Coyotes		M		1.96			1.28	16.32			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-3312050001.bam		Cate_BAMs	ROM-3312050001.bam		Alberto unpublished data		ROM-3312050001	C	HaldimandNorfolk3	90	C_HaldimandNorfolk3_90	Coyotes	Coyotes
ROM-3401250001			Canis	latrans	Bone	Turbinate	Cochrane	Cochrane1	Ontario, Cochrane	Canada			90	22 Dec 1933					Coyotes		F		1.62			1.21	27.05			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Cate_BAMs/ROM-3401250001.bam		Cate_BAMs	ROM-3401250001.bam		Alberto unpublished data		ROM-3401250001	C	Cochrane1	90	C_Cochrane1_90	Coyotes	Coyotes
SC19.MCJ010	YG 489.668		Canis	lupus			QuartzCreek	QuartzCreek1	Quartz Creek, Yukon	Canada	60.99	-130.49	29943	29943	30381	29505			Pleistocene_Wolves		M		3.07			3.21	88.59		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/SC19.MCJ010.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/SC19.MCJ010.bam		Unpub_AB_wolf	SC19.MCJ010.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		SC19.MCJ010	W	QuartzCreek1	29943	W_QuartzCreek1_29943	Pleistocene_Wolves	Wolves
SC19.MCJ014	YG 461.155		Canis	lupus			IndependenceCreek	IndependenceCreek1	Independence Creek, Yukon	Canada	63.36	-139.12	29143	29143	29465	28820			Pleistocene_Wolves		M		1.07			1.12	60.12		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/SC19.MCJ014.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/SC19.MCJ014.bam		Unpub_AB_wolf	SC19.MCJ014.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		SC19.MCJ014	W	IndependenceCreek1	29143	W_IndependenceCreek1_29143	Pleistocene_Wolves	Wolves
SC19.MCJ015	YG 647.150		Canis	lupus			ParadiseHill	ParadiseHill1	Paradise Hill, Yukon	Canada	63.90	-139.37	43821	43821	44164	43477			Pleistocene_Wolves		M		2.32			2.43	84.14		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/SC19.MCJ015.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/SC19.MCJ015.bam		Unpub_AB_wolf	SC19.MCJ015.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		SC19.MCJ015	W	ParadiseHill1	43821	W_ParadiseHill1_43821	Pleistocene_Wolves	Wolves
SC19.MCJ017	YG 74.2		Canis	lupus			HunkerCreek	HunkerCreek1	Hunker Creek, Yukon	Canada	64.03	-139.17	52745	52745					Pleistocene_Wolves		F		0.48			0.51	37.45		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/SC19.MCJ017.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/SC19.MCJ017.bam		Unpub_AB_wolf	SC19.MCJ017.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		SC19.MCJ017	W	HunkerCreek1	52745	W_HunkerCreek1_52745	Pleistocene_Wolves	Wolves
TU144	UA70 206/386		Canis	lupus			Umingmak	Umingmak1	Umingmak (Banks Island)	Canada	73.38	-119.82	3200	3200					North_American_Wolves		M		1.02			0.97	59.06		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/TU144.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/TU144_reheader.bam		Unpub_AB_wolf	TU144_reheader.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		TU144	W	Umingmak1	3200	W_Umingmak1_3200	North_American_Wolves	Wolves
TU148	UA70 205A/386		Canis	lupus			Umingmak	Umingmak2	Umingmak (Banks Island)	Canada	73.38	-119.82	3200	3200					North_American_Wolves		M		0.4			0.38	30.69		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/TU148.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/TU148_reheader.bam		Unpub_AB_wolf	TU148_reheader.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		TU148	W	Umingmak2	3200	W_Umingmak2_3200	North_American_Wolves	Wolves
LS0225	166L.2		Canis	familiaris	bone	petrous	NootkaSoundDog	NootkaSoundDog1		Canada			Hist_1850						Arctic_Dogs							1.37	72.38			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0225a/LS0225a_rmdup.bam					Lachie unpublished historic breed data		LS0225	D	NootkaSoundDog1	Hist_1850	D_NootkaSoundDog1_Hist_1850		
PortauChoix	MU_NP50A_1	AL3194	Canis	familiaris			PortauChoix	PortauChoix1	Port au Choix, Newfoundland	Canada	50.70	-57.35	4157	4157	4402	3912	SAMEA104190273		preContact_Dogs	A	M		19.64			19.65	99.27	/data/feuerborntr/Mapped/PortauChoix/PortauChoix.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam//PortauChoix/PortauChoix.CanFam3.1Y.rmdup.bam		PortauChoix	PortauChoix.CanFam3.1Y.rmdup.bam		Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85		PortauChoix	D	PortauChoix1	4157	D_PortauChoix1_4157	Dogs	preContact_Dogs
ANH-129_A2	MCZ44669		Canis	familiaris			Hopedale	Hopedale1	Hopedale	Canada	55.467372	-60.203189	156	Collected 1864					American_Dogs				1.71			#N/A	#N/A		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/ANH129.rmdup.chrnmd.bam			Unpub_Sophy			Sophy unpublished data		#N/A	D	Hopedale1	156	D_Hopedale1_156	Dogs	American_Dogs
Sort_GjoeaHavn			Canis	familiaris	Pelt		GjoaHavn	GjoaHavn1	Gjøa Havn	Canada	68.63	-95.85	Post	Collected 1906					Arctic_Dogs	A1a	F		2.9			3.14	65.7			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/Sort.CanFam3.1Y.rmdup.bam		Unpub_TRF_CA	Sort.CanFam3.1Y.rmdup.bam		Tatiana unpublished Canada data		Sort	D	GjoaHavn1	Post	D_GjoaHavn1_Post	Dogs	Arctic_Dogs
TRF.01.32	P36/2017KMG	ZMK 25/2017	Canis	familiaris	Bone	Petrous	Kuk	Kuk1	Kuk	Canada	64.5	-84.5	Pre	Pre-contact					Arctic_Dogs	A2a	F		3.97			3.75	95.35	/data/feuerborntr/Bams/TRF.01.32_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_CA/TRF.01.32_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_CA	TRF.01.32_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Canada data		TRF.01.32	D	Kuk1	Pre	D_Kuk1_Pre	Dogs	Arctic_Dogs
TRF.01.33	P37/2017KMG	ZMK 24/2017	Canis	familiaris	Bone	Petrous	Kuk	Kuk2	Kuk	Canada	64.5	-84.5	Pre	Pre-contact					Arctic_Dogs	A2a	F		2.04			1.99	81.83	/data/feuerborntr/Bams/TRF.01.33_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_CA/TRF.01.33_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_CA	TRF.01.33_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Canada data		TRF.01.33	D	Kuk2	Pre	D_Kuk2_Pre	Dogs	Arctic_Dogs
TRF.01.34	P38/2017KMG	ZMK23/2017	Canis	familiaris	Bone	Petrous	Qilalukan	Qilalukan1	Qilalukan, Cockburn	Canada	72.7	-77.96	Pre	Pre-contact					Arctic_Dogs	A1b	M		15.14			15.04	99.33	/data/feuerborntr/Bams/TRF.01.34_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_CA/TRF.01.34_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_CA	TRF.01.34_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Canada data		TRF.01.34	D	Qilalukan1	Pre	D_Qilalukan1_Pre	Dogs	Arctic_Dogs
